Voll,Demand_segment,Cost_of_demand_curtailment_perMW,Max_demand_curtailment,Subperiods,Hours_per_period,Sub_Weights,Time_index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5
,,,,,,,127,83.14413575,90.46145934,93.83484617,30.29528612,5.321973401
,,,,,,,128,91.69278224,98.68448206,96.7294635,30.77540159,5.406315293
,,,,,,,129,99.64302347,100.8791124,96.62436847,30.81061006,5.412500365
,,,,,,,130,99.71711174,103.963088,98.68423102,30.97064855,5.440614329
,,,,,,,131,100.8113385,103.834475,101.5968646,30.19926303,5.305105023
,,,,,,,132,98.08716981,102.5155076,100.9813081,30.17365687,5.300606788
,,,,,,,133,96.63389991,98.85414177,98.84938035,28.52526043,5.011032958
,,,,,,,134,95.52257586,95.60871583,97.63628345,27.83389415,4.889580633
,,,,,,,135,96.80772239,95.18456657,94.06905794,28.17957729,4.950306796
,,,,,,,136,96.0497424,95.43905612,92.74486059,27.98433033,4.91600776
,,,,,,,137,97.32349072,96.9222103,93.91591947,30.22806996,5.310165536
,,,,,,,138,99.13010468,96.91126452,96.33911054,36.41835875,6.397613667
,,,,,,,139,105.4219085,101.9080164,97.86749252,36.50157876,6.412232928
,,,,,,,140,114.7769773,101.4565027,97.42309068,35.88703096,6.304275306
,,,,,,,141,111.1836962,96.1094856,95.6935268,34.69314383,6.094545134
,,,,,,,142,106.3679587,91.60803056,93.42047149,31.34833939,5.506963285
,,,,,,,143,105.2936788,86.76451967,89.35179256,29.0789936,5.108307274
,,,,,,,144,101.8200788,83.28649575,88.9824586,29.34785826,5.155538734
,,,,,,,145,92.72146936,80.84011228,84.91377967,29.57511292,5.195460563
,,,,,,,146,94.84438324,79.66070369,87.12077525,29.20702439,5.130798445
,,,,,,,147,93.06911432,79.38979546,87.00667208,28.61168121,5.026214499
,,,,,,,148,92.20000193,79.03405737,84.74262491,29.2486344,5.138108076
,,,,,,,149,91.29669495,80.59383206,86.72741958,30.07123224,5.282613851
,,,,,,,150,92.70152252,86.63590667,90.31866681,31.23951321,5.487845789
,,,,,,,151,98.18405447,94.19944571,94.15913939,31.42515786,5.520457987
,,,,,,,152,104.8035564,103.4760005,99.83126818,32.11652414,5.641910312
,,,,,,,153,108.3654924,104.8743248,99.24573874,32.82709503,5.766736313
,,,,,,,154,106.7697451,108.0732311,99.06257312,32.31817264,5.677333907
,,,,,,,155,109.4882147,108.1060685,101.2965931,32.26696032,5.668337439
,,,,,,,156,108.3797402,106.6694339,99.8763089,31.53718481,5.540137762
,,,,,,,157,106.1257471,103.0108045,96.44720828,30.47452923,5.353461041
,,,,,,,158,105.0372194,100.1238531,97.25193592,29.0469859,5.102684481
,,,,,,,159,104.6325835,99.63402911,95.8736897,28.86134126,5.070072283
,,,,,,,160,103.3160919,101.90528,99.03554868,30.71458697,5.395631987
,,,,,,,161,105.4390058,101.8888613,99.52499124,33.05755046,5.807220421
,,,,,,,162,104.1766557,100.8626937,98.65120115,39.05899383,6.861494074
,,,,,,,163,110.0894695,103.3419146,103.089214,39.48789698,6.936839498
,,,,,,,164,113.0530003,102.7645243,100.5849497,38.47005219,6.758034686
,,,,,,,165,108.0577412,96.82096177,101.6358999,36.06947484,6.336325225
,,,,,,,166,103.732126,92.04586205,98.27886448,32.97112967,5.79203888
,,,,,,,167,102.6008552,87.86457129,93.66068869,30.41691538,5.343340014
,,,,,,,168,98.99902544,84.7039752,91.52876099,29.89198913,5.251126212
,,,,,,,169,92.97222966,80.49805642,90.81711751,29.57831369,5.196022842
,,,,,,,170,95.12648858,79.25844601,88.78127669,29.21022516,5.131360725
,,,,,,,171,93.3540692,79.31591139,86.37009648,28.61808275,5.027339057
,,,,,,,172,92.49635501,77.54816674,88.0666305,29.25183517,5.138670355
,,,,,,,173,91.61584442,80.24356687,88.72722782,30.07763378,5.28373841
,,,,,,,174,93.08336207,85.32241219,93.18625971,31.24271398,5.488408068
,,,,,,,175,98.61433634,93.41408547,98.89742379,31.42835863,5.521020267
,,,,,,,176,105.2794311,102.0503117,101.4227072,32.12292568,5.643034871
,,,,,,,177,108.8470662,104.3516634,102.4526384,32.83349657,5.767860871
,,,,,,,178,107.2142747,107.5669885,99.8763089,32.32137341,5.677896186
,,,,,,,179,109.9498416,107.4082746,97.9035251,32.27336186,5.669461997
,,,,,,,180,108.8128716,105.9634306,101.0563759,31.54038558,5.540700042
,,,,,,,181,106.5446307,102.2829096,101.0803976,30.47773,5.35402332
,,,,,,,182,105.3905635,98.90613426,99.70215143,29.05338744,5.10380904
,,,,,,,183,104.9916266,98.42725606,97.78641921,28.8677428,5.071196841
,,,,,,,184,103.6580378,98.67900917,100.0985098,30.72098851,5.396756545
,,,,,,,185,105.7781021,100.257939,101.7860357,33.063952,5.80834498
,,,,,,,186,104.5299997,100.2880399,100.8041479,39.06539537,6.862618633
,,,,,,,187,110.4770081,105.5091805,103.7738331,39.49429852,6.937964057
,,,,,,,188,113.5488218,105.0494574,104.7617263,38.47645372,6.759159245
,,,,,,,189,108.5763591,99.49994322,98.69924459,36.07587638,6.337449784
,,,,,,,190,104.1738061,94.74947152,100.0895017,32.97433044,5.79260116
,,,,,,,191,103.0225884,89.6760991,96.0928879,30.42331692,5.344464572
