juris,year,ev_stock,ev_stock_2,ev_flow,ev_flow_2,ev_stock_src,ev_stock_2_src,ev_flow_src,ev_flow_2_src,out_stock,fast_stock,out_flow,fast_flow,out_stock_src,fast_stock_src,out_flow_src,fast_flow_src
Michigan,2016,,,,2482,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1384,,,,https://afdc.energy.gov/stations/states,,,
Michigan,2017,,,,2742,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1384,,,,https://afdc.energy.gov/stations/states,,,
Michigan,2018,,,,3571,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1384,,,,https://afdc.energy.gov/stations/states,,,
Michigan,2019,,,,,,,,,1384,,,,https://afdc.energy.gov/stations/states,,,
Minnesota,2016,,,,1083,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1053,,,,https://afdc.energy.gov/stations/states,,,
Minnesota,2017,,,,1398,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1053,,,,https://afdc.energy.gov/stations/states,,,
Minnesota,2018,,,,2853,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1053,,,,https://afdc.energy.gov/stations/states,,,
Minnesota,2019,,,,,,,,,1053,,,,https://afdc.energy.gov/stations/states,,,
Mississippi,2016,,,,70,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,292,,,,https://afdc.energy.gov/stations/states,,,
Mississippi,2017,,,,128,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,292,,,,https://afdc.energy.gov/stations/states,,,
Mississippi,2018,,,,231,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,292,,,,https://afdc.energy.gov/stations/states,,,
Mississippi,2019,,,,,,,,,292,,,,https://afdc.energy.gov/stations/states,,,
Missouri,2016,,,,870,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1906,,,,https://afdc.energy.gov/stations/states,,,
Missouri,2017,,,,1150,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1906,,,,https://afdc.energy.gov/stations/states,,,
Missouri,2018,,,,2268,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,1906,,,,https://afdc.energy.gov/stations/states,,,
Missouri,2019,,,,,,,,,1906,,,,https://afdc.energy.gov/stations/states,,,
Montana,2016,,,,99,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,137,,,,https://afdc.energy.gov/stations/states,,,
Montana,2017,,,,143,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,137,,,,https://afdc.energy.gov/stations/states,,,
Montana,2018,,,,274,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,137,,,,https://afdc.energy.gov/stations/states,,,
Montana,2019,,,,,,,,,137,,,,https://afdc.energy.gov/stations/states,,,
Nebraska,2016,,,,206,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,244,,,,https://afdc.energy.gov/stations/states,,,
Nebraska,2017,,,,260,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,244,,,,https://afdc.energy.gov/stations/states,,,
Nebraska,2018,,,,628,,,,https://evadoption.com/ev-market-share/ev-market-share-state/,244,,,,https://afdc.energy.gov/stations/states,,,
Nebraska,2019,,,,,,,,,244,,,,https://afdc.energy.gov/stations/states,,,
Netherlands,2014,43000,,,,IEA 2019,,,,12000,100,,,IEA 2019,IEA 2019,,
Netherlands,2015,88000,,,,IEA 2019,,,,18000,200,,,IEA 2019,IEA 2019,,
Netherlands,2016,112000,,,,IEA 2019,,,,33000,400,,,IEA 2019,IEA 2019,,
Netherlands,2017,119000,,,,IEA 2019,,,,33000,400,,,IEA 2019,IEA 2019,,
Netherlands,2018,148000,,,,IEA 2019,,,,37000,800,,,IEA 2019,IEA 2019,,
